Name:,grav3,L1 Size:,64,L2 Size:,1024,L3 Size:,32768,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
23:09:2024 20:53,neon,sp,1,2,1,No,524288,div,122.8894,2.3063,87.8025,1.213,67.6834,1.1691,46.8842,0.7453,3.4953,0.3364,83.7951,4.0326
23:09:2024 21:04,armscalar,sp,1,2,1,No,524288,div,31.0647,3.0047,29.8315,2.9987,30.6652,2.9808,30.9456,2.2865,3.4953,1.3457,20.8716,4.0178
23:09:2024 21:15,neon,dp,1,2,1,No,524288,div,122.6209,2.3063,81.5368,1.213,67.5392,1.1648,46.7821,0.7453,1.7341,0.3338,41.9507,4.0377
23:09:2024 21:26,armscalar,dp,1,2,1,No,524288,div,61.8773,3.0276,56.803,2.2529,54.0726,2.1982,46.7102,1.3137,1.7341,0.6676,20.8716,4.0178
23:09:2024 21:38,neon,sp,2,2,1,No,524288,div,235.0502,4.5797,170.6135,2.4261,80.8691,1.6941,79.5858,1.3281,6.9905,0.6728,166.3356,8.0049
23:09:2024 21:49,armscalar,sp,2,2,1,No,524288,div,61.7868,6.0061,60.5112,6.008,61.2537,5.9193,61.8822,4.2666,6.9905,2.6913,41.7432,8.0356
23:09:2024 22:00,neon,dp,2,2,1,No,524288,div,235.0207,4.5797,168.3315,2.4261,80.9214,1.6857,79.6102,1.3281,3.4682,0.6676,83.9013,8.0755
23:09:2024 22:11,armscalar,dp,2,2,1,No,524288,div,122.0029,6.0552,116.2631,4.5057,80.7731,3.3457,79.6317,2.3704,3.4847,1.3416,41.7432,8.0356
23:09:2024 22:22,neon,sp,4,2,1,No,524288,div,488.9395,9.1329,321.5689,4.8543,121.4042,2.7881,119.8733,2.1744,13.981,1.3457,335.1802,16.1305
23:09:2024 22:34,armscalar,sp,4,2,1,No,524288,div,123.7741,12.0121,121.1333,11.9454,119.4609,10.8134,118.0973,7.3123,13.981,5.3827,83.4863,16.0711
23:09:2024 22:45,neon,dp,4,2,1,No,524288,div,490.5641,9.1594,333.4007,4.8522,121.5128,2.7929,119.8685,2.1744,6.9363,1.3352,166.3356,16.0098
23:09:2024 22:56,armscalar,dp,4,2,1,No,524288,div,246.8341,12.1103,229.7872,9.022,121.8914,5.5341,119.7527,4.0135,6.9363,2.6705,83.4863,16.0711
23:09:2024 23:07,neon,sp,8,2,1,No,524288,div,952.9765,18.2658,702.6735,9.5141,220.8943,5.3236,211.2845,2.8139,27.962,2.6913,590.5086,28.4182
23:09:2024 23:18,armscalar,sp,8,2,1,No,524288,div,247.8736,24.0242,243.7144,23.1077,221.6876,20.1337,213.7954,10.0338,27.962,10.7654,166.9726,32.1422
23:09:2024 23:29,neon,dp,8,2,1,No,524288,div,980.6407,18.2658,701.5956,9.6116,220.4797,5.3145,211.526,2.8139,13.8727,2.6705,295.9428,28.4845
23:09:2024 23:40,armscalar,dp,8,2,1,No,524288,div,493.9188,24.2206,479.914,17.6696,221.8468,10.5924,212.6914,5.2677,13.8727,5.341,166.9726,32.1422
