Name:,ampere,L1 Size:,64,L2 Size:,1024,L3 Size:,1,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
28/09/2024 08:22,neon,sp,80,2,1,No,524288,add,6491.9272,142.8466,6148.5626,68.2456,368.0456,67.6018,50.2789,0.6731,1927.5448,160.709,3843.765,160.2369
28/09/2024 08:34,armscalar,sp,80,2,1,No,524288,add,1437.1909,160.6698,1439.4716,139.2181,325.8053,139.2213,60.1694,2.6525,480.143,160.1277,960.2597,160.1233
28/09/2024 07:59,neon,dp,80,2,1,No,524288,add,6530.732,142.5257,6244.1248,67.6961,378.6566,68.3471,48.1074,0.6681,966.4111,161.149,1927.5448,160.709
28/09/2024 08:10,armscalar,dp,80,2,1,No,524288,add,2869.3492,160.1978,2874.5826,102.7936,322.3015,102.7936,54.7306,1.3564,480.143,160.1277,960.2597,160.1233
28/09/2024 09:57,neon,sp,160,2,1,No,524288,add,12977.4342,287.97,12470.0577,133.9902,128.618,135.2543,100.5687,1.553,3855.0897,321.5386,7676.2579,320.124
28/09/2024 10:08,armscalar,sp,160,2,1,No,524288,add,2873.754,321.8214,2879.0423,276.2475,134.289,276.2475,121.4312,6.1958,960.2859,320.7355,1920.5194,320.7267
28/09/2024 09:32,neon,dp,160,2,1,No,524288,add,13061.4639,285.372,12512.8392,134.2658,172.2185,134.2658,94.2843,1.5537,1920.5194,320.6067,3855.0897,321.7795
28/09/2024 09:44,armscalar,dp,160,2,1,No,524288,add,5738.6984,319.6977,5752.2401,198.7949,133.8071,203.2416,107.2635,3.0822,960.2859,320.4954,1920.5194,320.4866
27/09/2024 19:54,neon,sp,1,2,1,No,524288,div,81.5076,1.7985,66.4528,0.881,27.7268,0.8891,24.6132,0.3136,2.0103,0.1675,48.0471,2.0022
27/09/2024 20:06,armscalar,sp,1,2,1,No,524288,div,17.9658,2.0131,17.3438,1.7836,18.7106,1.7784,16.6819,0.9657,2.0184,0.6729,12.0032,2.0008
